FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,250,0,0,0,5,0,0,0
Charlie,Adam,MID,STK,4700000,0,0,0,0,0,0,2911,2,1,0,0,0,0,0,0,167,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,658,0,109,0,0,25,89,0,0,-3
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.78E-07,5.56E-07,0,9649,0,2,0,0,0,0,0,0.6,138,-1,0,3,1,0,0,0,0,0,0,0,0,0,628,0,0,0,0,122,1,0,0,6
,Adrian,GLK,WHU,5000000,2,19,2.7,5.40E-07,3.80E-06,0,52867,0,17,0,25,0,0,0,3.8,6366,0,0,19,0,0.3,0,1.7,2,0,1,0,0,2.9,45542,0,356,0,0,630,480,0,0,118
Ibrahim,Afellay,MID,STK,5400000,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,25,-1,0,0,1,0,0,0,0,0,0,0,0,0,99,0,270,0,0,0,23,0,0,0
Benik,Afobe,FWD,BOU,5600000,1,3,0.142857143,2.55E-08,5.36E-07,0,18569,0,0,0,0,0,0,0,0.5,854,-4,1,3,4,0.1,0,0.7,0,0,0,0,0,0.3,2996,0,146,0,0,25,265,-1,0,5
Sergio,Aguero,FWD,MCI,13100000,2,39,7.8,5.95E-07,2.98E-06,0,1236723,0,6,0,0,0,5,0,3,17513,1,-1,39,-1,0.4,0,5,9,0,0,0,0,44.9,1271607,0,789,0,2,439,134259,1,0,156
Ola,Aina,DEF,CHE,4700000,0,0,0,0,0,0,3863,0,0,0,0,0,0,0,0,150,-3,1,0,3,0,0,0,0,0,0,0,0,0.1,276,0,0,0,0,0,28,-1,0,0
Nathan,Ake,DEF,BOU,4300000,0,2,0.095238095,2.21E-08,4.65E-07,0,33154,0,2,0,0,0,0,0,0.5,2016,-2,0,2,2,0,0,0,0,0,0,0,0,1.1,3980,0,232,0,0,15,291,0,0,6
Chuba,Akpom,FWD,ARS,5200000,0,0,0,0,0,0,7643,0,0,0,0,0,0,0,0,376,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1012,0,0,0,0,0,60,0,0,0
Marc,Albrighton,MID,LEI,5200000,3,16,2.7,5.19E-07,3.08E-06,0,42848,0,7,0,0,0,0,0,3,2742,-3,1,16,3,0.5,0,2.7,0,0,4,0,0,1,6900,0,519,0,0,440,536,-1,0,64
Toby,Alderweireld,DEF,TOT,6500000,6,30,4.3,6.62E-07,4.62E-06,0,215588,0,3,0,0,0,0,0,4.6,13392,0,0,30,0,0.7,0,4.7,0,0,4,0,0,18.9,67734,0,598,0,0,630,12813,0,0,148
Trent,Alexander-Arnold,MID,LIV,4400000,0,0,0,0,0,0,745,0,0,0,0,0,0,0,0,60,-1,0,0,1,0,0,0,0,0,0,0,0,0,694,0,0,0,0,0,28,0,0,0
Joe,Allen,MID,STK,4800000,8,27,3.9,8.13E-07,5.63E-06,0,44139,1,14,0,0,0,2,0,5.6,6888,-2,0,27,2,1.5,0,7,4,0,1,0,0,1.7,40748,0,132,0,0,548,23853,0,0,126
Bamidele,Alli,MID,TOT,8200000,8,28,4,4.88E-07,3.41E-06,0,249764,1,3,0,0,0,2,0,3.4,5766,-3,1,28,3,0.6,0,5.3,0,0,3,0,1,6.2,46716,0,666,0,0,558,22160,-1,0,90
Marcos,Alonso,DEF,CHE,5900000,6,7,0.333333333,5.65E-08,1.19E-06,0,1654,0,0,0,0,0,0,0,1.2,219,-1,0,7,1,0.4,0,2.3,0,0,1,0,0,0.1,3483,0,0,0,0,126,1523,0,0,42
Daniel,Amartey,MID,LEI,4500000,3,15,2.5,5.56E-07,3.33E-06,0,2674,1,9,0,0,0,0,0,3.3,520,0,0,15,0,0.8,0,3.7,0,0,2,0,1,0.2,5618,0,23,0,0,473,1394,0,0,72
Jordi,Amat,DEF,SWA,4100000,1,10,1.4,3.41E-07,2.44E-06,0,107862,3,12,0,0,0,0,0,2.4,9736,1,0,10,-1,0.2,0,1,0,0,1,0,0,13.9,269142,0,63,0,0,630,20137,0,0,114
Nordin,Amrabat,MID,WAT,5000000,5,15,2.5,5.00E-07,3.00E-06,0,5946,1,11,0,0,0,0,0,3,307,0,0,15,0,0.5,0,2.3,3,0,0,0,1,0.1,6884,0,74,0,0,443,624,0,0,57
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,1908,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1522,0,0,0,0,0,17,0,0,0
,Angelino,DEF,MCI,4400000,0,0,0,0,0,0,1592,0,0,0,0,0,0,0,0,115,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,450,0,0,0,0,0,40,0,0,0
Victor,Anichebe,FWD,SUN,4500000,0,1,0.047619048,1.06E-08,2.22E-07,0,1394,0,1,0,0,0,0,0,0.2,552,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0.1,3500,0,0,0,0,5,416,0,0,1
Michail,Antonio,MID,WHU,7200000,2,42,6,8.33E-07,5.83E-06,0,239751,1,16,0,0,0,5,0,5.8,87677,2,1,42,-2,0.5,0,3.7,4,0,1,0,0,16.2,676768,0,452,0,2,591,23058,-1,0,131
Ikechi,Anya,MID,WAT,4500000,0,1,1,2.22E-07,2.22E-07,0,5139,0,0,0,0,0,0,0,0.2,210,0,0,1,0,0,0,0,0,0,0,0,0,0.1,327,0,176,0,0,10,1,0,0,3
Alvaro,Arbeloa,DEF,WHU,4900000,1,1,0.047619048,9.72E-09,2.04E-07,0,2611,2,4,0,0,0,0,0,0.2,329,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.1,4090,0,0,0,0,174,226,0,0,21
Scott,Arfield,MID,BUR,5200000,1,10,0.476190476,9.16E-08,1.92E-06,0,3540,1,6,0,0,0,0,0,1.9,191,-3,1,10,3,0.2,0,1,0,0,2,0,0,0.1,788,0,0,0,0,328,10,-1,0,37
Marko,Arnautovic,MID,STK,7200000,2,16,2.3,3.19E-07,2.22E-06,0,47843,3,15,0,0,0,1,0,2.2,2776,-3,0,16,3,0.5,0,3.3,0,0,0,0,0,1.3,20650,0,528,0,0,613,11144,0,0,52
Harry,Arter,MID,BOU,5000000,2,21,3,6.00E-07,4.20E-06,0,5308,0,11,0,0,0,0,0,4.2,1295,0,0,21,0,0.8,0,4,2,0,2,0,2,0.3,7966,0,188,0,0,616,772,0,1,118
Takuma,Asano,FWD,ARS,4900000,0,0,0,0,0,0,3855,0,0,0,0,0,0,0,0,102,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,396,0,0,0,0,0,16,0,0,0
Joel,Asoro,MID,SUN,4500000,0,1,0.047619048,1.06E-08,2.22E-07,0,385,0,0,0,0,0,0,0,0.2,14,0,0,1,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,10,7,0,0,3
Charlie,Austin,FWD,SOU,6400000,2,23,3.8,5.94E-07,3.59E-06,0,63333,0,0,0,0,0,2,0,3.7,8577,-1,-1,23,1,1,0,6.3,3,0,3,0,1,5.7,216693,0,32,0,0,297,70855,1,0,76
Daniel,Ayala,DEF,MID,5000000,0,13,0.619047619,1.24E-07,2.60E-06,0,5290,2,5,0,0,0,1,0,2.6,829,0,0,13,0,0,0,0,0,0,1,0,0,0.2,4884,0,0,0,0,278,151,0,0,68
Andre,Ayew,MID,WHU,7200000,0,1,0.047619048,6.61E-09,1.39E-07,0,266159,0,0,0,0,0,0,0,0.1,1398,-3,0,1,3,0,0,0,0,0,0,0,0,1.2,2525,0,524,0,0,34,18,0,0,5
Cesar,Azpilicueta,DEF,CHE,6000000,7,24,3.4,5.67E-07,4.00E-06,0,188919,1,9,0,0,0,0,0,4,13778,0,0,24,0,0.5,0,3,3,0,2,0,1,10.7,107032,0,470,0,0,630,5220,0,0,138
