FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1
Mamadou,Sakho,DEF,CRY,4700000,0,35,4.4,9.36E-07,7.45E-06,0,81498,0,6,0,0,0,0,0,7.4,0,-3,0,35,3,0,0,0,6,0,4,0,0,0.6,97004,0,273,0,1,686,0,0,0,155,
Bakary,Sako,MID,CRY,5300000,1,7,0.063063063,1.19E-08,1.32E-06,0,1458,0,5,0,0,0,0,0,1.3,0,-2,0,7,2,0,0,0,0,0,0,0,0,0,1004,0,220,0,0,142,0,0,0,29,
Alexis,Sanchez,MID,ARS,11700000,9,264,6.9,5.90E-07,2.26E-05,0,1714802,6,41,0,0,0,24,0,22.6,0,7,0,264,-7,0,1,0,32,0,13,0,11,29.7,2498884,0,690,0,9,3217,0,0,0,834,
Leroy,Sane,MID,MCI,7700000,6,105,0.945945946,1.23E-07,1.36E-05,0,232425,4,15,0,0,0,5,0,13.6,0,-3,0,105,3,0,0,0,8,0,9,0,7,7.5,532293,0,0,0,0,1781,0,0,0,343,
Yaya,Sanogo,FWD,ARS,4600000,0,0,0,0,0,0,9537,0,0,0,0,0,0,0,0,0,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,4039,0,0,0,0,0,0,0,0,0,
Jeffrey,Schlupp,DEF,CRY,4700000,1,47,0.423423423,9.01E-08,1.00E-05,0,23178,0,17,0,0,0,0,0,10,0,-3,0,47,3,0,0,0,4,0,3,0,2,0.3,16146,0,236,0,0,1139,0,0,0,237,
Kasper,Schmeichel,GLK,LEI,4900000,3,109,3.6,7.35E-07,2.22E-05,0,409193,1,47,0,113,0,0,0,22.2,0,-1,0,109,1,0,0,0,10,0,8,0,0,6,125751,0,475,0,1,2666,0,0,0,585,
Morgan,Schneiderlin,MID,EVE,4500000,1,37,0.333333333,7.41E-08,8.22E-06,0,49078,2,14,0,0,0,1,0,8.2,0,-5,0,37,5,0,0,0,1,0,5,0,0,0.4,49537,0,317,0,1,1073,0,0,0,214,
Bastian,Schweinsteiger,MID,MUN,5100000,0,0,0,0,0,0,7255,0,0,0,0,0,0,0,0,0,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,1738,0,200,0,0,0,0,0,0,0,
Xherdan,Shaqiri,MID,STK,6000000,2,80,3.8,6.33E-07,1.33E-05,0,488455,2,21,0,0,0,4,0,13.3,0,-5,0,80,5,0,0,0,8,0,8,0,2,3,263949,0,302,0,2,1699,0,0,0,275,
Samuel,Shashoua,MID,TOT,4500000,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,
Luke,Shaw,DEF,MUN,5200000,0,45,4.1,7.88E-07,8.65E-06,0,869809,1,6,0,0,0,0,0,8.7,0,-3,0,45,3,0,0,0,4,0,4,0,3,6.4,382600,0,92,0,2,688,0,0,0,202,
Ryan,Shawcross,DEF,STK,4900000,6,94,2.7,5.51E-07,1.92E-05,0,113470,6,53,0,0,0,1,0,19.2,0,-1,0,94,1,0,0,0,6,0,9,0,2,1.7,92207,2,176,0,2,3150,0,0,0,549,
,Sheyi Ojo,MID,LIV,4700000,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,-3,0,0,3,0,0,0,0,0,0,0,0,0,325,0,81,0,0,0,0,0,0,0,
Gylfi,Sigurdsson,MID,SWA,7400000,2,181,4.8,6.49E-07,2.45E-05,0,1172231,2,70,0,0,0,9,0,24.5,0,-1,0,181,1,0,0,0,18,0,7,0,13,10.8,1311202,0,586,0,4,3327,0,0,0,684,
David,Silva,MID,MCI,8600000,3,130,3.8,4.42E-07,1.51E-05,0,265867,6,32,0,0,0,4,0,15.1,0,-4,0,130,4,0,0,0,12,0,12,0,9,2.8,152997,0,351,0,1,2760,0,0,0,621,
Danny,Simpson,DEF,LEI,4900000,1,85,2.4,4.90E-07,1.73E-05,0,108361,12,50,0,0,0,0,0,17.3,0,-1,0,85,1,0,0,0,4,0,9,0,3,2.1,91501,0,390,0,1,2988,0,0,0,529,
Joshua,Sims,MID,SOU,4100000,0,12,0.108108108,2.64E-08,2.93E-06,0,26899,0,1,0,0,0,0,0,2.9,0,-4,0,12,4,0,0,0,0,0,1,0,1,0.3,36478,0,0,0,0,211,0,0,0,48,
Jerome,Sinclair,FWD,WAT,4800000,0,6,1.2,2.50E-07,1.25E-06,0,18512,0,1,0,0,0,0,0,1.3,0,-2,0,6,2,0,0,0,0,0,0,0,0,0.2,7400,0,0,0,0,116,0,0,0,11,
