FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS
Mile,Jedinak,MID,CRY,4500000,0,2,2,4.44E-07,4.44E-07,0,23854,0,1,0,0,0,0,0,0.4,343,0,0,2,0,0,0,0,0,0,0,0,0,0.2,1062,0,118,0,0,90,3,0,0,8
Carl,Jenkinson,DEF,ARS,5000000,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,178,0,0,0,8,0,0,0
Glen,Johnson,DEF,STK,4800000,0,4,0.166666667,3.47E-08,8.33E-07,0,8040,0,6,0,0,0,0,0,0.8,683,-2,0,4,2,0.3,0,1.3,0,0,0,0,0,0.1,1447,0,324,0,0,270,22,0,0,36
,Jonathan Benteke,FWD,CRY,4400000,0,1,0.041666667,9.47E-09,2.27E-07,0,6866,0,0,0,0,0,0,0,0.2,738,-1,1,1,1,0,0,0,0,0,0,0,0,0.1,9497,0,0,0,0,7,462,-1,0,3
Billy,Jones,DEF,SUN,4400000,0,0,0,0,0,0,601,1,1,0,0,0,0,0,0,43,-1,0,0,1,0,0,0,0,0,0,0,0,0,227,0,211,0,0,51,42,0,0,2
David,Jones,MID,BUR,5000000,0,1,1,2.00E-07,2.00E-07,0,2754,1,1,0,0,0,0,0,0.2,44,0,0,1,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,86,3,0,0,8
Phil,Jones,DEF,MUN,4700000,0,0,0,0,0,0,8638,0,0,0,0,0,0,0,0,201,-3,0,0,3,0,0,0,0,0,0,0,0,0.2,505,0,64,0,0,0,29,0,0,0
,Joselu,FWD,STK,5300000,0,0,0,0,0,0,6056,0,0,0,0,0,0,0,0,71,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,503,0,246,0,0,0,8,0,0,0
,Josh Robson,DEF,SUN,4000000,0,0,0,0,0,0,1233,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3419,0,0,0,0,0,364,0,0,0
Lukas,Jutkiewicz,FWD,BUR,4400000,0,2,0.083333333,1.89E-08,4.55E-07,0,16976,0,0,0,0,0,0,0,0.5,784,-1,0,2,1,0,0,0,0,0,0,0,0,0.5,7665,0,0,0,0,13,251,0,0,5
Christian,Kabasele,DEF,WAT,4800000,1,1,0.041666667,8.68E-09,2.08E-07,0,1610,0,3,0,0,0,0,0,0.2,54,-2,0,1,2,0.1,0,0.3,0,0,0,0,0,0.1,286,0,0,0,0,57,41,0,0,9
Younes,Kaboul,DEF,WAT,4400000,6,10,2,4.55E-07,2.27E-06,0,12745,0,9,0,0,0,0,0,2.3,474,-1,0,10,1,0.5,0,2.3,0,0,1,0,0,0.6,6250,0,231,0,0,441,1799,0,0,74
Sullay,Kaikai,MID,CRY,4500000,0,0,0,0,0,0,2041,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,9,0,0,0,1,0,0,0
Harry,Kane,FWD,TOT,10700000,0,24,4.8,4.49E-07,2.24E-06,0,634006,0,2,0,0,0,2,0,2.2,8701,-3,0,24,3,0,0,0,3,0,3,0,1,5.2,152647,0,1053,0,0,419,332,0,0,92
N'Golo,Kante,MID,CHE,4800000,3,18,2.3,4.79E-07,3.75E-06,0,488888,1,9,0,0,0,0,0,3.8,24148,-2,0,18,2,0.6,0,2.7,0,0,3,0,0,14.1,85537,0,501,0,0,720,4834,0,0,121
