FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Matthew,Lowton,DEF,BUR,4500000,5,61,2.3,5.11111111111111E-07,1.35555555555556E-05,0,33339,8,40,0,0,0,0,0,13.6,484,0,0,61,0,0.6,0,2.7,5,0,5,0,2,0.6,41323,0,0,0,0,2340,2010,0,0,440,Sunderland,Tottenham,Stoke,Middlesbrough,Everton,1.2,2.7,2.8,1.3,1.2,1.9,1.8,2.9,1.6,3.1
Leiva,Lucas,MID,LIV,4400000,1,21,0.25,5.68181818181818E-08,4.77272727272727E-06,0,10887,1,12,0,0,0,0,0,4.8,124,-1,0,21,1,0.3,0,1.3,0,0,1,0,0,0.2,10429,0,253,0,0,576,69,0,0,112,Man City,Everton,Bournemouth,Stoke,West Brom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Greg,Luer,FWD,HUL,4400000,0,0,0,0,0,0,5589,0,0,0,0,0,0,0,0,48,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,6018,0,0,0,0,0,50,0,0,0,Everton,West Ham,Middlesbrough,Man City,Stoke,0,0,0,0,0,0,0,0,0,0
Romelu,Lukaku,FWD,EVE,10400000,12,166,6.1,5.86538461538461E-07,1.59615384615385E-05,0,1704892,3,28,0,0,0,19,0,16.3,10132,14,-2,166,-14,0.8,0,8,25,0,10,0,5,45.6,3246313,0,754,0,4,2366,184706,2,0,630,Hull City,Liverpool,Man Utd,Leicester,Burnley,9.1,6.8,6.6,9.1,9.1,7.2,7.8,7.2,9.1,6.7
Shaun,MacDonald,MID,BOU,4500000,0,0,0,0,0,0,4118,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0.1,372,0,3,0,0,0,2,0,0,0,Swansea,Southampton,Liverpool,Chelsea,Tottenham,0,0,0,0,0,0,0,0,0,0
Pablo,Maffeo,DEF,MCI,4500000,0,0,0,0,0,0,862,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0,0,0,0,0,1,0,0,0,Liverpool,Arsenal,Chelsea,Hull City,Southampton,0,0,0,0,0,0,0,0,0,0
Harry,Maguire,DEF,HUL,4400000,2,40,1.9,4.31818181818182E-07,9.09090909090909E-06,0,6558,4,39,0,0,0,0,0,9.1,1366,-1,0,40,1,0.5,0,2.3,2,0,2,0,3,0.6,30657,0,0,0,0,1638,1046,0,0,332,Everton,West Ham,Middlesbrough,Man City,Stoke,1,2.2,1.8,1.2,1.3,1.6,1.3,1.6,1.6,1.9
Riyad,Mahrez,MID,LEI,8900000,0,83,3.3,3.70786516853933E-07,9.32584269662921E-06,0,871620,3,34,0,0,0,4,0,9.3,858,-6,0,83,6,0.7,1,6,7,0,5,0,3,8.1,134897,0,994,0,0,1939,7028,0,0,303,West Ham,Stoke,Sunderland,Everton,Crystal Palace,1.7,3.7,4.4,1.9,2.4,0,1.9,4.3,1.8,3.5
Ainsley,Maitland-Niles,MID,ARS,4500000,0,1,0.0119047619047619,2.64550264550265E-09,2.22222222222222E-07,0,123,0,0,0,0,0,0,0,0.2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,2,5,0,0,5,West Brom,Man City,West Ham,Crystal Palace,Middlesbrough,0,0,0,0,0,0,0,0,0,0
Josh,Maja,FWD,SUN,4500000,0,0,0,0,0,0,1216,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,2092,0,0,0,0,0,117,0,0,0,Burnley,Watford,Leicester,Man Utd,West Ham,0,0,0,0,0,0,0,0,0,0
