FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,250,0,0,0,5,0,0,0
Charlie,Adam,MID,STK,4700000,0,0,0,0,0,0,2736,2,1,0,0,0,0,0,0,191,-3,1,0,3,0,0,0,0,0,0,0,0,0.1,569,0,109,0,0,25,67,-1,0,-3
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.78E-07,5.56E-07,0,9500,0,2,0,0,0,0,0,0.6,192,-1,0,3,1,0,0,0,0,0,0,0,0,0,627,0,0,0,0,122,2,0,0,6
,Adrian,GLK,WHU,5000000,3,17,2.8,5.60E-07,3.40E-06,0,46235,0,16,0,24,0,0,0,3.4,6838,0,0,17,0,0.3,0,1.3,2,0,1,0,0,3.1,45005,0,356,0,0,540,1206,0,0,106
Ibrahim,Afellay,MID,STK,5400000,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,19,-1,0,0,1,0,0,0,0,0,0,0,0,0,76,0,270,0,0,0,12,0,0,0
Benik,Afobe,FWD,BOU,5700000,1,2,0.111111111,1.95E-08,3.51E-07,0,17676,0,0,0,0,0,0,0,0.4,948,-3,0,2,3,0.1,0,0.3,0,0,0,0,0,0.3,2723,0,146,0,0,24,277,0,0,2
Sergio,Aguero,FWD,MCI,13000000,13,37,9.3,7.15E-07,2.85E-06,0,1218639,0,4,0,0,0,5,0,2.8,7795,0,0,37,0,0.3,0,4.3,9,0,0,0,0,41.8,1127293,0,789,0,2,349,345654,0,0,153
Ola,Aina,DEF,CHE,4800000,0,0,0,0,0,0,3700,0,0,0,0,0,0,0,0,148,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,248,0,0,0,0,0,21,0,0,0
Nathan,Ake,DEF,BOU,4300000,0,2,0.111111111,2.58E-08,4.65E-07,0,31021,0,2,0,0,0,0,0,0.5,2580,-2,1,2,2,0,0,0,0,0,0,0,0,1.1,3674,0,232,0,0,15,397,-1,0,6
Chuba,Akpom,FWD,ARS,5200000,0,0,0,0,0,0,7257,0,0,0,0,0,0,0,0,306,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,949,0,0,0,0,0,156,0,0,0
Marc,Albrighton,MID,LEI,5300000,2,13,2.6,4.91E-07,2.45E-06,0,39966,0,7,0,0,0,0,0,2.5,3058,-2,0,13,2,0.4,0,2.3,0,0,3,0,0,1.1,6320,0,519,0,0,375,748,0,0,56
Toby,Alderweireld,DEF,TOT,6500000,2,24,4,6.15E-07,3.69E-06,0,200980,0,3,0,0,0,0,0,3.7,33463,0,0,24,0,0.7,0,4.7,0,0,3,0,0,18.9,54745,0,598,0,0,540,5363,0,0,119
Trent,Alexander-Arnold,MID,LIV,4400000,0,0,0,0,0,0,684,0,0,0,0,0,0,0,0,99,-1,0,0,1,0,0,0,0,0,0,0,0,0,664,0,0,0,0,0,88,0,0,0
Joe,Allen,MID,STK,4800000,11,19,3.2,6.67E-07,3.96E-06,0,37017,1,13,0,0,0,1,0,4,3250,-2,0,19,2,1,0,5,3,0,1,0,0,1.2,16809,0,132,0,0,458,8561,0,0,102
Bamidele,Alli,MID,TOT,8300000,2,20,3.3,3.98E-07,2.41E-06,0,242775,1,3,0,0,0,1,0,2.4,24210,-2,0,20,2,0.6,0,5.3,0,0,2,0,1,5.8,24521,0,666,0,0,473,952,0,0,72
Marcos,Alonso,DEF,CHE,5900000,1,1,0.055555556,9.42E-09,1.69E-07,0,1427,0,0,0,0,0,0,0,0.2,188,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0,1956,0,0,0,0,36,112,0,0,14
Daniel,Amartey,MID,LEI,4500000,5,12,2.4,5.33E-07,2.67E-06,0,2139,1,9,0,0,0,0,0,2.7,443,0,0,12,0,0.7,0,3,0,0,1,0,1,0.2,4150,0,23,0,0,383,2048,0,0,52
Jordi,Amat,DEF,SWA,4100000,0,9,1.5,3.66E-07,2.20E-06,0,97704,3,10,0,0,0,0,0,2.2,11325,1,0,9,-1,0.2,0,0.7,0,0,1,0,0,13.8,248126,0,63,0,0,540,21924,0,0,96
Nordin,Amrabat,MID,WAT,5000000,1,10,2,4.00E-07,2.00E-06,0,5628,1,9,0,0,0,0,0,2,452,0,0,10,0,0.1,0,0.7,3,0,0,0,0,0.1,6254,0,74,0,0,353,134,0,0,38
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,1809,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,1505,0,0,0,0,0,23,0,0,0
,Angelino,DEF,MCI,4400000,0,0,0,0,0,0,1473,0,0,0,0,0,0,0,0,119,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,410,0,0,0,0,0,57,0,0,0
