FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Lazar,Markovic,MID,HUL,5400000,0,4,0.0512820512820513,9.49667616334283E-09,7.40740740740741E-07,0,6109,1,2,0,0,0,0,0,0.7,2286,-1,0,4,1,0.1,0,0.7,0,0,1,0,0,0.2,10820,0,0,0,0,180,397,0,0,21,Leicester,Swansea,Everton,West Ham,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0
Dean,Marney,MID,BUR,4400000,0,51,2.4,5.45454545454545E-07,1.15909090909091E-05,0,64463,7,28,0,0,0,1,0,11.6,958,-1,0,51,1,0,0,0,1,0,5,0,2,0.4,68548,0,0,0,0,1764,48,0,0,239,Swansea,Liverpool,Sunderland,Tottenham,Stoke,0,0,0,0,0,1.2,1.2,2.1,1.2,2.3,1.2,1.7
David,Marshall,GLK,HUL,4500000,0,31,2.1,4.66666666666667E-07,6.88888888888889E-06,0,5856,0,37,0,56,0,0,0,6.9,115,0,0,31,0,0,0,0,0,0,0,0,0,0.1,7405,1,0,0,0,1350,24,0,0,239,Leicester,Swansea,Everton,West Ham,Middlesbrough,1,2,1.2,2.5,2,1.4,1.5,1.9,1.5,1.9,1.8,2.3
Anthony,Martial,MID,MUN,9200000,0,60,0.769230769230769,8.36120401337793E-08,6.52173913043478E-06,0,296057,0,7,0,0,0,3,0,6.5,516,-3,0,60,3,0.7,0,6,6,0,5,0,4,2.5,105346,0,593,0,2,787,2320,0,0,189,Bournemouth,Middlesbrough,West Brom,Everton,Sunderland,0.4,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Cuco,Martina,DEF,SOU,4300000,0,31,0.397435897435897,9.24269528920692E-08,7.2093023255814E-06,0,50743,0,6,0,0,0,0,0,7.2,954,-2,0,31,2,0,0,0,5,0,3,0,0,0.5,61397,0,203,0,0,592,146,0,0,140,Watford,Tottenham,Bournemouth,Crystal Palace,West Brom,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Bruno,Martins Indi,DEF,STK,4900000,0,75,3.3,6.73469387755102E-07,1.53061224489796E-05,0,23530,1,34,0,0,0,1,0,15.3,1302,-1,0,75,1,0.7,0,3.3,8,0,7,0,0,0.7,48723,0,0,0,1,2070,3105,0,0,421,Middlesbrough,Man City,Chelsea,Leicester,Burnley,6.7,0,3.8,2.1,2.2,4.8,4.3,3,4.6,3.4,4.5,3.2
Brandon,Mason,DEF,WAT,4000000,0,1,0.0128205128205128,3.20512820512821E-09,2.5E-07,0,1403,0,0,0,0,0,0,0,0.3,104,0,0,1,0,0,0,0,0,0,0,0,0,0.1,3280,0,0,0,0,23,88,0,0,3,Southampton,Crystal Palace,Sunderland,West Brom,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Mason,MID,HUL,4600000,0,26,0.333333333333333,7.2463768115942E-08,5.65217391304348E-06,0,4963,4,27,0,0,0,1,0,5.7,29,-4,0,26,4,0,0,0,0,0,0,0,0,0,3719,0,147,0,0,927,8,0,0,126,Leicester,Swansea,Everton,West Ham,Middlesbrough,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Arthur,Masuaku,DEF,WHU,4700000,0,11,0.141025641025641,3.00054555373704E-08,2.34042553191489E-06,0,24491,1,18,0,0,0,0,0,2.3,13,-3,0,11,3,0,0,0,1,0,1,0,1,0.1,17749,0,0,0,0,526,11,0,0,131,Chelsea,Bournemouth,Leicester,Hull City,Arsenal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Juan,Mata,MID,MUN,7200000,0,85,4.3,5.97222222222222E-07,1.18055555555556E-05,0,285485,3,11,0,0,0,6,0,11.8,4139,-3,0,85,3,1.3,0,9,12,0,8,0,2,3.3,320594,1,586,0,1,1227,31060,0,0,372,Bournemouth,Middlesbrough,West Brom,Everton,Sunderland,4.6,0,4.5,4.5,4.8,5.1,3.8,4.1,4.6,3.2,2.9,4.3
Nemanja,Matic,MID,CHE,4900000,1,77,3.1,6.3265306122449E-07,1.57142857142857E-05,0,249917,4,15,0,0,0,0,0,15.7,6889,-1,0,77,1,0.3,0,1.3,1,0,12,0,7,3.4,266213,0,373,0,0,1969,2370,0,0,401,West Ham,Stoke,Crystal Palace,Man City,Bournemouth,1.7,0,2.1,2.8,2.4,2,2.4,3,2.1,3.3,1.9,4
Joel,Matip,DEF,LIV,5300000,1,50,2.9,5.47169811320755E-07,9.43396226415094E-06,0,132652,2,17,0,0,0,1,0,9.4,1894,-2,0,50,2,0.4,0,2.3,1,0,4,0,0,1.9,114617,0,0,0,0,1441,1480,0,0,305,Arsenal,Burnley,Man City,Everton,Bournemouth,3.8,3.6,2.3,3.2,3.8,2.6,2.5,3.5,2,3.7,3.1,3.2
